point,velocity
485,4.518680449463043
486,4.112850712470723
487,4.53552930290632
488,4.803174179612799
489,4.577486868853548
490,4.456803901498436
491,3.6846363559219815
492,3.785623357198143
493,4.898980029893152
494,5.001637970735476
495,4.151797849642388
496,4.095008363095469
497,4.5301606466347
498,4.676565005438609
499,4.954535316223269
500,3.9584461171558014
501,4.252948293008088
502,4.774430268110635
503,5.103073811102362
504,3.8296895946646736
505,4.7341494676394085
506,4.825658734248018
507,5.567031321167054
508,4.248738293714914
509,4.896938121904871
510,4.55963300923983
511,4.980955694485748
512,4.219166425430599
513,5.213426877390556
514,4.521231019284728
515,4.2568248069480505
516,4.183417833016933
517,2.8817019968763318
518,4.075101718895413
519,4.224751593510897
520,3.0699039709176055
521,2.702603909049676
522,3.229810235390796
523,4.048789233061705
524,4.018289115553727
525,3.9729694894422316
526,2.358568293583373
527,3.860344145856292
528,4.884978447631914
529,4.33459694024287
530,3.693007254687282
531,4.696404573657116
532,5.106044506792132
533,4.638062267770386
534,3.6507233465710223
535,4.293973504000034
536,4.746897191897694
537,4.972143329691923
538,5.3367075536138975
539,3.9874351276744595
540,4.847118642612116
541,5.041842066326587
542,5.30818855470593
543,3.2828833961397166
544,4.521749376875047
545,5.2722352285329706
546,5.721662692094784
547,3.4502238932934186
548,4.26091738656373
549,5.601032104921687
550,4.721516734307775
551,5.092813415825293
552,4.87554789260837
553,5.267585729084528
554,3.879760964751576
555,4.5943950518144865
556,4.6215493961220275
557,4.459989021854773
558,-3.815024757158801
559,2.00795419721576
560,4.3276281142319775
561,3.9955000365438673
562,3.0242843404985815
563,-0.15130425687773688
564,-4.674782678690307
565,1.547461589474224
566,1.6156597464929725
567,1.0979168597434914
568,-0.9851149559906038
569,4.331624902479815
570,3.0096618928804437
571,-1.0448304241707853
572,-1.858450820644633
573,0.7742647763731604
574,-0.6482333722378621
575,-1.8044184180293883
576,-1.3162091734258041
577,0.9990216968486397
578,0.7415111065084193
579,-0.24426981304228676
580,-0.5173688250210493
581,1.458919599683053
582,1.1660143274426962
583,-1.1132245177668243
584,1.0927623987377606
585,0.36399363115365607
586,0.4012062447307543
587,4.347057763312022
588,-0.0740472791194195
589,-3.342087991443809
590,0.8308399116594178
591,4.8603259298283135
592,-0.35303584593356185
593,-1.1255998925638606
594,0.9188326399261466
595,1.6116428165102956
596,0.8705147562925744
597,0.08083832553670338
598,-2.4919452961510244
599,-0.7765054317472804
600,-0.33477356544963777
601,1.1142142438033353
602,-4.686476411329706
603,1.9803612160951711
604,1.0974515733887955
605,3.081073584680847
606,0.6303350310734812
607,-1.4959374016471774
608,-2.8505841801392116
609,-1.2548137556652093
610,-1.679471153752954
611,-7.034038364726918
612,-1.4566605211543933
613,0.7026627726937185
614,-0.8441094235855134
615,-0.23218574382112045
616,-0.1351707476045208
617,-2.0263950368969685
618,-0.563782937202527
619,-1.9365194845057356
620,-0.8104573551203057
621,-0.7712149201362489
622,-0.48183023867645125
623,1.9768284772776832
624,-2.443631542928199
625,0.5871626415851393
626,3.3804339184421672
627,0.4512722248357557
628,-3.4734749953419937
629,-2.6756430818718435
630,-3.572896702710513
631,-5.582509726047096
632,-0.47645779346951994
633,-0.3220073693046809
634,-1.8791567711098531
635,-2.2248811761016447
636,1.1896241066242872
637,1.1555301212006663
638,1.4057254093254477
639,0.3547677443811153
640,2.214062503751591
641,2.98053003792691
642,-0.7291149615099877
643,-0.9215768533176502
644,-2.573836806046056
645,1.6294520755224324
646,1.6625650131377636
647,0.0584078075665898
648,-1.0485795281037902
649,-2.4378371374033954
650,-3.180428379221575
651,-2.7758815416053824
652,-1.2096258932990889
653,-1.0002460228445618
654,-1.4880985872809902
655,-0.5072005915369486
656,-0.05375200364781548
657,-0.5197551646660746
658,0.24059604008991997
659,-0.7055669358176407
660,-2.2259137552815935
661,-1.0604346079154159
662,-0.15935272090158067
663,-1.178996857166277
664,-0.1529246911945796
665,0.147587005189189
666,-1.9304322662155058
667,0.2850777497737455
668,-1.0726101413530602
669,-2.014400480955034
670,-0.014154793822612456
671,1.0360765004068222
672,-1.775591983074014
673,-1.1499299432507284
674,-2.0435248324311117
675,-1.3180189775849591
676,0.6985527851915213
677,-0.8611861595804771
678,-0.6895637677188579
679,-0.9512968972045726
680,-2.3191295456897727
681,-2.2850796258428696
682,0.6132046470061774
683,0.7344230083620178
684,-5.005125776289177
685,-4.744699561458301
686,-4.137488247208857
687,-4.1946563118343105
688,-4.049439154274183
689,-3.0957495063248865
690,-4.188579500430431
691,-0.04851868614556206
692,-3.188166331467013
693,-3.0708418087777276
694,-0.10446036002425794
695,-0.11225278919668398
696,-7.019938331488645
697,-5.344571613953965
698,-8.089243663578953
699,-6.657845859207566
700,-6.553376708312392
701,-4.47718815628971
702,-3.6100408923562086
703,-1.8789124806112132
704,-2.1255933571188916
705,-6.656310187355831
706,-12.645037565321074
707,-3.1104007499411126
708,-2.426691245924623
709,-1.0219728320348465
710,-0.8288577853121633
711,-4.035349857520489
712,-8.26743517433652
713,-4.036046119176587
714,-4.41849225923271
715,-9.69437089590916
716,-1.3468067524340575
717,-1.0770773972063192
718,-1.452121138804926
719,-2.2030085809928917
720,-7.3227972011131515
721,-5.145716024944038
722,-7.321041904441983
723,-3.5348724196345005
724,-5.835053749068578
725,-6.165030128554535
726,-1.8039310574791028
727,-2.0400243519529693
728,-0.4743615986266669
729,-1.2058997440806227
730,-9.115454394473073
731,-7.213576379060148
732,-5.559263853511361
733,-3.369618254708918
734,-8.611903561778785
735,-6.837155465165925
736,-7.356295987188552
737,-0.413160183709195
738,-1.998945163449928
739,-0.2373370818319534
740,-0.2729203605387512
741,-3.7333776847721762
742,-4.992592091893228
743,-8.457321289863769
744,-6.29918924501051
745,-4.8461656329397815
746,-2.155917720209697
747,-0.7756883596029736
748,-0.930944108420104
749,-1.647812674808068
750,0.003155666172831672
751,0.11370418583786783
752,-9.424570328226434
753,-8.327917947965611
754,-9.0358089540775
755,-8.172522065480965
756,-6.976451886012242
757,-7.047259806985833
758,-6.473171057178261
759,-1.9743781118061365
760,-2.8933534195931525
761,-1.8226860752691878
762,-1.2930111857799962
763,-2.292408661008055
764,-7.471338972858622
765,-6.2381219074886065
766,-6.175956907650071
767,-5.873152936326314
768,-6.2869152596447035
769,-4.034689786795837
770,-2.7026972769935886
771,-7.320353190721034
772,-8.574865087956802
773,-5.990404010314723
774,-9.035458009283532
775,-9.227500559204152
776,-6.682757506462994
777,-7.447056341480877
778,-7.6731484011472135
779,-8.573932018848579
780,-7.818066816095858
781,-1.166594089460347
782,-4.862460894943992
783,-6.779111602282346
784,-4.3128870233376535
785,-3.132409566223101
786,-7.687573415370024
787,-8.073293426533532
788,-8.443557162505583
789,-3.4833694083827904
790,-2.6012717018868634
791,-7.548009328376501
792,-3.2187563498034923
793,-7.572443033870814
794,-5.865449280525777
795,-1.7805920472149281
796,-4.616657329508062
797,-5.673691028832462
798,-6.173993356611368
799,-5.998124856349934
800,-1.9545547291211836
801,-5.795938490719272
802,-5.627040015169784
803,-6.27233374833624
804,-4.7997501549357455
805,-5.445031737551054
806,-0.7802620325824895
807,-2.6004965259465855
808,-2.696302812934275
809,-4.764013283643918
810,-4.077054886429544
811,-8.822491299304536
812,-2.545630907376201
813,-8.287001537220137
814,-2.1110572888139716
815,-8.12375120852571
816,-1.6119735882315416
817,-2.6278014238956917
818,-1.884342477455755
819,-8.26824874775157
820,-9.884894357179412
821,-4.960394501803529
822,-7.997012702062561
823,-2.071363812300922
824,-2.616423057569877
825,-4.76887076575901
826,-10.501116424529599
827,-7.281043859623164
828,-6.098392906009222
829,-8.314932967159832
830,-3.079361620481821
831,-6.564373236396475
832,-6.745065086235328
833,-1.7289046882133965
834,-4.186381755541203
835,-5.748896710888412
836,-2.5892263721912565
837,-8.508215858232866
838,-6.308925695047019
839,-9.217177038369838
840,-7.292852027941111
841,-7.269789719030073
842,-3.4829844301865664
843,-3.0004972495024056
844,-5.526163570693272
845,-7.126509961214756
846,-7.441891933575432
847,-6.424374764471538
848,-5.761820154098291
849,-8.031981148542473
850,-7.111904924132824
851,-8.014947084013691
852,-7.2209737442754784
853,-5.047317158240615
854,-4.716093508430494
855,-5.741421292921885
856,-7.349839796543381
857,-8.395486102910684
858,-7.879865896643738
859,-7.940786787979543
860,-8.283045945551871
861,-9.12713461645482
862,-7.96023845264312
863,-3.952241564297625
864,-6.77598427174496
865,-9.19422362324745
866,-10.615617681582716
867,-6.897571637782687
868,-7.3105962779246845
869,-5.730696555252008
870,-6.931156769783396
871,-8.352254964366693
872,-5.069031499810475
873,-8.409087448297464
874,-9.421420072161535
875,-5.623314548166791
876,-8.505181289787288
877,-6.8527013880980725
878,-5.624816209068787
879,-4.633631376609272
880,-6.904213848193854
