"id","date","date_value"
"asc_3d216d","2019-06-05","-5.643001"
"asc_3d216d","2019-06-17","-2.290808"
"asc_3d216d","2019-06-29","1.270234"
"asc_3d216d","2019-07-11","-6.951526"
"asc_3d216d","2019-07-23","-5.665241"
"asc_3d216d","2019-08-04","-0.7237838"
"asc_3d216d","2019-08-16","-0.5691801"
"asc_3d216d","2019-08-28","-3.605644"
"asc_3d216d","2019-09-09","-0.705311"
"asc_3d216d","2019-09-21","-5.910748"
"asc_3d216d","2019-10-03","-7.159908"
"asc_3d216d","2019-10-15","-7.420361"
"asc_3d216d","2019-10-27","-13.23114"
"asc_3d216d","2019-11-08","10.36659"
"asc_3d216d","2019-11-20","-0.8980996"
"asc_3b1418","2018-04-11","-7.219877"
"asc_3b1418","2018-04-23","-1.117248"
"asc_3b1418","2018-05-05","0.5106477"
"asc_3b1418","2018-05-17","-4.980232"
"asc_3b1418","2018-05-29","-4.717881"
"asc_3b1418","2018-06-10","6.628553"
"asc_3b1418","2018-06-22","2.881155"
"asc_3b1418","2018-07-04","2.711999"
"asc_3b1418","2018-07-16","-1.831199"
"asc_3b1418","2018-07-28","-0.7778821"
"asc_3b1418","2018-08-09","-1.392755"
"asc_3b1418","2018-08-21","-4.446129"
"asc_3b1418","2018-09-02","2.066546"
"asc_3b1418","2018-09-14","-2.375946"
"asc_3b1418","2018-09-26","-5.557919"
"asc_3b1418","2018-10-08","-3.5746"
"asc_3b1418","2018-10-20","-3.599668"
"asc_3b1418","2018-11-01","-3.647721"
"asc_3b1418","2018-11-13","-4.307784"
"asc_3b1418","2018-11-25","-11.05716"
"asc_3b1418","2018-12-07","-2.059868"
"asc_3b1418","2018-12-19","-1.8932"
"asc_3b1418","2018-12-31","-0.8251287"
"asc_3b1418","2019-01-12","-5.893399"
"asc_3b1418","2019-01-24","-15.74796"
"asc_3b1418","2019-02-05","-3.463968"
"asc_3b1418","2019-02-17","-4.879036"
"asc_3b1418","2019-03-01","-4.490653"
"asc_3b1418","2019-03-13","-3.229756"
"asc_3b1418","2019-03-25","-3.181729"
"asc_3b1418","2019-04-06","-6.135943"
"asc_3b1418","2019-04-18","-5.994275"
"asc_3b1418","2019-04-30","-6.456351"
"asc_665dbb","2017-08-14","-3.329108"
"asc_665dbb","2017-08-26","3.390236"
"asc_665dbb","2017-09-07","5.466668"
"asc_665dbb","2017-09-19","9.004261"
"asc_665dbb","2017-10-13","4.717442"
"asc_665dbb","2017-10-25","3.276516"
"asc_665dbb","2017-11-06","0.2501747"
"asc_665dbb","2017-11-18","8.434019"
"asc_665dbb","2017-11-30","4.376864"
"asc_665dbb","2017-12-12","3.377064"
"asc_665dbb","2017-12-24","3.386681"
"asc_665dbb","2018-01-05","6.194543"
"asc_665dbb","2018-01-17","2.613179"
"asc_665dbb","2018-01-29","1.69707"
"asc_665dbb","2018-02-10","-0.42348"
